Institution ID,University Name,High Performance Computing,Library [Consulting],Library [Training Events],Library [Back End Work],Library [Front End Work],Library Link,IT Department [Consulting],IT Department [Training Events],IT Department [Back End Work],IT Department [Front End Work],IT Department Link,Independent Center/Institute 1,Independent Center/Institute 1 Staffing,Independent Center/Institute 1 Link,Independent Center/Institute 2,Independent Center/Institute 2 Staffing,Independent Center/Institute 2 Link,Independent Center/Institute 3,Independent Center/Institute 3 Staffing,Independent Center/Institute 3 Link,Independent Center/Institute 4,Independent Center/Institute 4 Staffing,Independent Center/Institute 4 Link,Independent Center/Institute 5,Independent Center/Institute 5 Staffing,Independent Center/Institute 5 Link,Department 1,Department 1 Staffing,Department 1 Link,Department 2,Department 2 Staffing,Department 2 Link,Department 3,Department 3 Staffing,Department 3 Link,Medical School 1,Medical School 1 Staffing,Medical School 1 Link,Medical School 2,Medical School 2 Staffing,Medical School 2 Link,Medical School 3,Medical School 2 Staffing,Medical School 3 Link,Medical School 4,Medical School 4 Staffing,Medical School 4 Link,Business School 1,Business School 1 Staffing,Business School 1 Link,Business School 2,Business School 2 Staffing,Business School 2 Link,Business School 3,Business School 3 Staffing,Business School 3 Link,Other 1,Other 1 Staffing,Other 1 Link,Other 2,Other 2 Staffing,Other 2 Link,Other 3,Other 3 Staffing,Other 3 Link,Other 4,Other 4 Staffing,Other 4 Link,Other 5,Other 5 Staffing,Other 5 Link,Notes
R1.001,University of Louisville,IT Department,,,,,,General,,General,,http://louisville.edu/it/departments/research/,Clinical Data,Staff,https://louisville.edu/research/ctu/services/data-management,,,https://louisville.edu/predictivemedicine/cores/consulting,,,,,,,,,,Geospatial,"Faculty, Staff",http://www.ulcgis.org/SOFTWARE.htm,,,,,,,Bioinformatics,Faculty,https://louisville.edu/medicine/departments/medicine/divisions/infectiousdiseases/informatics-and-biostatistics-program/informatics,,,,,,,,,,,,,,,,,,,Bioinformatics,"Faculty, Staff",http://louisville.edu/sphis/departments/stcc,,,,,,,,,,,,,Other 1: School of Public Health
R1.002,University of Cincinnati-Main Campus,IT Department,"General, Health Sciences, Geospatial",,General,General,https://libraries.uc.edu/,,,,General,https://www.uc.edu/about/ucit/services/develop-project-research/research-development/hpc.html,General,Staff,https://research.uc.edu/,,,,,,,,,,,,,,,,,,,,,,Bioinformatics,"Faculty, Staff",https://www.med.uc.edu/research,Clinical Data,"Faculty, Staff",https://www.med.uc.edu/research,Visualization,"Faculty, Staff",https://www.med.uc.edu/research,,,,Business,Staff,https://business.uc.edu/faculty-and-research/research-centers/business-analytics/training.html,,,,,,,,,,,,,,,,,,,,,,
R1.003,The University of Texas at El Paso,IT Department,,,,,,,,General,General,https://www.utep.edu/technologysupport/index.html,General,Faculty,https://expertise.utep.edu/center/cybershare,,,,,,,,,,,,,Bioinformatics,Faculty,http://www.bioinformatics.utep.edu/BCL/index.php,Statistics,Faculty,https://www.utep.edu/science/statlab/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1.004,University of Connecticut,IT Department,General,General,,,https://lib.uconn.edu/services/research-data/,,,,,https://its.uconn.edu/services/all-services/,Bioinformatics,Staff,https://core.uconn.edu/resources/informatics,Clinical Data,"Faculty, Staff",https://core.uconn.edu/resources/clinicaldata,Statistics,Faculty,https://health.uconn.edu/connecticut-convergence-institute/biostatistics-center/,,,,,,,Statistics,"Faculty, Staff",https://stat.uconn.edu/consulting-info/,,,,,,,,,,,,,,,,,,,Business,Staff,https://ccea.uconn.edu/#,,,,,,,,,,,,,,,,,,,,,,
R1.005,North Carolina State University at Raleigh,IT Department,"General, Geospatial","General, Geospatial",General,General,https://www.lib.ncsu.edu/do/data-management,General,General,,,https://oit.ncsu.edu/about/units/occ/,Bioinformatics,"Faculty, Staff, Students",https://research.ncsu.edu/gsl/bioinformatic-resources/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1.006,Drexel University,Computing and Informatics,General,General,,,https://www.library.drexel.edu/services/research-data-management-support/,,General,,,https://drexel.edu/it/services/workshops/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business,"Faculty, Staff, Students",https://www.lebow.drexel.edu/faculty-and-research/centers/business-analytics-solution-center/consulting-projects,,,,,,,,,,,,,,,,,,,,,,
R1.007,University of California-Irvine,IT Department,General,,,,https://guides.lib.uci.edu/datamanagement,,,,,https://www.oit.uci.edu/services/,Bioinformatics,"Faculty, Staff",http://www.igb.uci.edu/facilities/core.html,,,,,,,,,,,,,Statistics,"Faculty, Staff, Students",https://statconsulting.uci.edu/,,,,,,,Statistics,"Faculty, Staff, Students",https://statconsulting.uci.edu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1.008,University of Miami,Independent Center/Institute,"General, Digital Humanities emphasis, Geospatial, Statistical","General, Statistical",,General,https://www.library.miami.edu/research/analyze-data.html,,,,,https://www.it.miami.edu/index.html ,Bioinformatics,Staff,https://ccs.miami.edu/resources/services/,General,Staff,https://ccs.miami.edu/focus-area/big-data-analytics-and-data-mining/,,,,,,,,,,,,,,,,,,,Bioinformatics,"Faculty, Staff",https://www.publichealth.med.miami.edu/divisions/biostatistics/biostatistics-core/index.html,Statistics,"Faculty, Staff",http://hihg.med.miami.edu/cgesg/analysiscore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1.009,University of Oklahoma-Norman Campus,IT Department,"General, Geospatial",Geospatial,,,https://libraries.ou.edu/content/all-services,,,,,http://www.ou.edu/ouit,Bioinformatics,"Faculty, Staff, Students",https://ouhsc.edu/bserdac/,,,,,,,,,,,,,Bioinformatics,"Faculty, Staff, Students",http://ou.edu/cas/chemistry/research/research-support-services/chemistry-and-biochemistry-bioinformatics-core,,,,,,,,,,,,,,,,,,,Business,"Faculty, Staff",http://www.ou.edu/price/centersresearch/cemr/cemr_data,Genral,Staff,http://www.ou.edu/price/centersresearch/cemr/cemr_data,,,,,,,,,,,,,,,,,,,
R1.010,Oklahoma State University-Main Campus,Independent Center/Institute,General,General,,,https://library.okstate.edu/research-support/research-data-services/,,,,,https://it.okstate.edu/,Bioinformatics,Staff,https://hpcc.okstate.edu/bioinformatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://business.okstate.edu/,,,,,,,,,,,,,,,,,,,,,,
R1.011,West Virginia University,IT Department,,,,,https://libguides.wvu.edu/c.php?g=840757&p=6065249,General,,,,https://it.wvu.edu/research,,,,,,,,,,,,,,,,,,,,,,,,,Bioinformatics,Staff,http://www.wvucancer.org/research/shared-resources/bioinformatics-biostatistics/,Clinical Data,Staff,http://www.wvctsi.org/programs/epidemiology-biostatistics/,,,,,,,,,https://business.wvu.edu/,,,,,,,,,,,,,,,,,,,,,,
R1.012,Indiana University-Bloomington,IT Department,"General, Digital Humanities emphasis, Geospatial, Statistical",,,,https://libraries.indiana.edu/data-services,"General, Geospatial, Statistical",,,,https://uits.iu.edu/,Geospatial,"Faculty, Staff, Students",https://igws.indiana.edu/cgda/,Bioinformatics,Staff,http://ncgas.org/bioinformatics.php,Bioinformatics,Staff,https://cgb.indiana.edu/bioinformatics/index.html,Visualization,Staff,https://kb.iu.edu/d/apcl,,,,Statistics,Staff,https://iscc.indiana.edu/,,,,,,,Bioinformatics,Staff,https://medicine.iu.edu/research/centers-institutes/computational-biology-bioinformatics/bioinformatics-core/,,,,,,,,,,,,https://ibrc.kelley.iu.edu/services/index.html,,,,,,,,,,,,,,,,,,,,,,
R1.013,University of Arizona,IT Department,"General, Geospatial",General,,,https://data.library.arizona.edu/research-data-management-services-home,"General, Statistical",,,,https://it.arizona.edu/research,General,Staff,https://datascience.arizona.edu/dsrt,Statistics,Staff,https://statlab.bio5.org/,,,,,,,,,,,,,,,,,,,Bioinformatics,"Faculty, Staff",https://cancercenter.arizona.edu/researchers/shared-resources/bioinformatics,Statistics,Staff,https://cancercenter.arizona.edu/researchers/shared-resources/biostatistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1.014,Tulane University of Louisiana,IT Department,General,,,,https://library.tulane.edu/services/data-management,,,,,https://it.tulane.edu/getting-started-services,Statistics,Faculty,https://www.lacats.org/key-components/biostatistics-and-epidemiology-core/,,,,,,,,,,,,,,,,,,,,,,Bioinformatics,Staff,https://medicine.tulane.edu/centers-institutes/tulane-center-aging/cobre-grant/cobre-genomics-biostatistics-and-bioinformatics,,,,,,,,,,,,https://freeman.tulane.edu/,,,,,,,,,,,,,,,,,,,,,,
R1.015,University of California-Los Angeles,Independent Center/Institute,General,General,,,https://www.library.ucla.edu/support/research-help/research-data-services,,,,General,https://oit.ucla.edu/statistical-computing-informatics,Statistics,Staff,https://stats.idre.ucla.edu/ucla/policies/#Fee,,,,,,,,,,,,,Statistics,Staff,http://scc.stat.ucla.edu/,,,,,,,Statistics,Faculty,https://ctsi.ucla.edu/researcher-resources/pages/biostats,Statistics,Staff,https://www.semel.ucla.edu/research/core/biostatistics-core-sistat,Bioinformatics,Staff,https://www.semel.ucla.edu/research/core/informatics-center-neurogenetics-and-neurogenomics-icnn,Bioinformatics,"Faculty, Staff",https://www.doe-mbi.ucla.edu/computer-core/,,,https://www.anderson.ucla.edu/,,,,,,,Bioinformatics,Faculty,http://www.iddrc.ucla.edu/iddrc/content/cores/Genetics%2C%20Genomics%20and%20Informatics%20,Statistics,Faculty,https://cancer.ucla.edu/research/shared-resources/biostatistics-analytical-support-evaluation-base,Statistics,Faculty,https://biostat.ucla.edu/consulting,,,,,,,"Other 1&2: are really centers under the medical school just ran out of medical school slots
Other 3: school of public health statistical consulting services"
R1.016,University of Wisconsin-Milwaukee,IT Department,General,General,,,https://uwm.edu/libraries/dataservices/,,,,,https://uwm.edu/technology/student-resources/,Statistics,Faculty,https://uwm.edu/education/research/core/,Statistics,Staff,https://uwm.edu/healthsciences/research/statistical-consultation/,,,,,,,,,,Statistics,Faculty,https://uwm.edu/math/research/statistics/,,,,,,,,,,,,,,,,,,,,,https://uwm.edu/business/,,,,,,,,,,,,,,,,,,,,,,
R1.017,George Washington University,Arts and Sciences,"General, Geospatial, Statistical",General,,,https://library.gwu.edu/research/data-services/our-services,,,,,https://it.gwu.edu/services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://business.gwu.edu/,,,,,,,Statistics,"Faculty, Staff",https://publichealth.gwu.edu/projects/biostatistics-and-epidemiology-consulting-service-becs,,,,,,,,,,,,,Other 1: is in the school of public health
R1.018,University of Nebraska-Lincoln,IT Department,General,General,,General,http://unl.libguides.com/c.php?g=51638&p=333887,,,,,https://its.unl.edu/services/,Bioinformatics,Staff,https://biotech.unl.edu/bioinformatics#tab1,Statistics,Staff,https://ncibc.unl.edu/data-management-and-analysis-core,Bioinformatics,Faculty,https://redoxbiologycenter.unl.edu/facilities_metabolomics,,,,,,,Statistics,Students,https://statistics.unl.edu/research-consulting,,,,,,,Bioinformatics,Staff,http://bioinformatics.unmc.edu/template_view.cfm?PageID=1,Bioinformatics,"Faculty, Staff",https://www.unmc.edu/bsbc/index.html,,,,,,,,,https://business.unl.edu/,,,,,,,Statistics,"Faculty, Staff",https://www.unmc.edu/publichealth/centers/ccorda/scope.html,,,,,,,,,,,,,
R1.019,Louisiana State University and Agricultural & Mechanical College,IT Department,General,,,,https://guides.lib.lsu.edu/data,,,,,https://grok.lsu.edu/ItServiceCatalog.aspx#,,,,,,,,,,,,,,,,Statistics,"Faculty, Students",https://www.lsu.edu/agriculture/exst/consulting.php,,,,,,,Bioinformatics,Staff,https://www.medschool.lsuhsc.edu/bioinformatics/Services.aspx,Statistics,Staff,https://www.lacats.org/key-components/biostatistics-and-epidemiology-core/,,,,,,,,,https://www.lsu.edu/business/index.php,,,,,,,Statistics,Faculty,https://sph.lsuhsc.edu/education/academic-programs/biostatistics-bios/consultation-services/,Statistics,Faculty,https://sph.lsuhsc.edu/service/epi-data-center/,,,,,,,,,,"Other 1&2: School of public health
Med school 2: is a center that serves multiple institutions in Louisiana and is linked to their med schools or schools of public health"
