"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","0","10","50","0","2019","A","",129465,1989555,97168689833,15758271586,194556850,939,48839,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2205,1.7,27930,1.4,4160801755,4.5,346206039,2.2,-11127409,-5.4,27,3.0,1425,3.0
"01000","1","10","51","0","2019","A","",1239,54056,4580927819,0,0,1630,84744,"",1.62,1.42,1.74,0.00,0.00,1.22,1.22,"",43,3.6,1053,2.0,159237985,3.6,0,0.0,0,0.0,26,1.6,1320,1.6
"01000","2","10","51","0","2019","A","",1375,98096,5429266440,175728,5780,1064,55347,"",1.55,1.56,1.67,0.00,0.03,1.07,1.07,"",-4,-0.3,1633,1.7,234492648,4.5,80907,85.3,2038,54.5,28,2.7,1494,2.8
"01000","3","10","51","0","2019","A","",3692,214943,9303022653,134036345,1145373,832,43281,"",1.71,1.12,1.11,0.63,1.14,0.99,0.99,"",-14,-0.4,912,0.4,328379648,3.7,46138,0.0,-91708,-7.4,26,3.2,1350,3.2
"01000","5","10","51","0","2019","A","",123160,1622460,77855472921,15624059513,193405697,923,47986,"",0.98,0.96,0.94,1.01,1.00,0.98,0.98,"",2181,1.8,24331,1.5,3438691474,4.6,346078994,2.3,-11037739,-5.4,28,3.1,1421,3.1
"01000","8","10","96","0","2019","A","",6305,367095,19313216912,134212073,1151153,1012,52611,"",1.65,1.26,1.35,0.44,0.97,1.08,1.08,"",24,0.4,3599,1.0,722110281,3.9,127045,0.1,-89670,-7.2,28,2.8,1466,2.9
"01001","0","10","70","0","2019","A","",888,11107,448078198,76758825,905541,776,40344,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,2.0,133,1.2,26607156,6.3,1631520,2.2,-39594,-4.2,37,5.0,1937,5.0
"01001","1","10","71","0","2019","A","",12,82,4466579,0,0,1043,54250,"",2.29,0.39,0.37,0.00,0.00,0.94,0.94,"",0,0.0,-6,-6.8,-13736,-0.3,0,0.0,0,0.0,67,6.9,3482,6.9
"01001","2","10","71","0","2019","A","",19,582,25879210,0,0,856,44491,"",3.13,1.66,1.73,0.00,0.00,1.04,1.04,"",0,0.0,10,1.7,1470856,6.0,0,0.0,0,0.0,36,4.4,1850,4.3
"01001","3","10","71","0","2019","A","",32,1911,73489430,148870,878,740,38458,"",2.16,1.79,1.90,0.14,0.19,1.06,1.06,"",0,0.0,5,0.3,2964657,4.2,1662,1.1,10,1.2,29,4.1,1461,3.9
