Institution,State,City,UA_Peer,AAU,Med_School,PAC_12,Land_grant,County,BLS_area
Arizona State University,AZ,Tempe,FALSE,FALSE,FALSE,TRUE,FALSE,Maricopa County,04013
Michigan State University,MI,East Lansing,TRUE,TRUE,TRUE,FALSE,TRUE,Ingham County,C2962
Ohio State University,OH,Columbus,TRUE,TRUE,TRUE,FALSE,TRUE,Franklin County,C1814
Oregon State University,OR,Corvallis,FALSE,FALSE,FALSE,TRUE,TRUE,Benton County,C1870
Pennsylvania State University,PA,State College,TRUE,TRUE,TRUE,FALSE,TRUE,Centre County,C4430
Stanford University,CA,Palo Alto,FALSE,TRUE,TRUE,TRUE,FALSE,Santa Clara County,06085
Texas A&M University,TX,College Station,TRUE,TRUE,FALSE,FALSE,TRUE,Brazos County,C1778
University of Arizona,AZ,Tucson,FALSE,TRUE,TRUE,TRUE,TRUE,Pima County,C4606
"University of California, Berkeley",CA,Berkeley,FALSE,TRUE,FALSE,TRUE,TRUE,Alameda County,06001
"University of California, Davis",CA,Davis,TRUE,TRUE,TRUE,FALSE,TRUE,Yolo County,06113
"University of California, Los Angeles",CA,Los Angeles,TRUE,TRUE,TRUE,TRUE,FALSE,Los Angeles County,CS348
"University of Colorado, Boulder",CO,Boulder,FALSE,TRUE,FALSE,TRUE,FALSE,Boulder County,C1450
University of Florida,FL,Gainesville,TRUE,TRUE,TRUE,FALSE,TRUE,Alachua County,C2354
University of Illinois at Urbana-Champaign,IL,Urbana,TRUE,TRUE,TRUE,FALSE,TRUE,Champaign County,C1658
University of Iowa,IA,Iowa City,TRUE,TRUE,TRUE,FALSE,FALSE,Johnson County,C2698
"University of Maryland, College Park",MD,College Park,TRUE,TRUE,FALSE,FALSE,TRUE,Prince George's County,24033
"University of Minnesota, Twin Cities",MN,Minneapolis,TRUE,TRUE,TRUE,FALSE,TRUE,Hennepin County,CS378
University of North Carolina at Chapel Hill,NC,Chapel Hill,TRUE,TRUE,TRUE,FALSE,FALSE,Orange County,C2050
University of Oregon,OR,Eugene,FALSE,FALSE,TRUE,TRUE,FALSE,Lane County,C2166
University of Southern California,CA,Los Angeles,TRUE,TRUE,TRUE,FALSE,FALSE,Los Angeles County,CS348
University of Texas at Austin,TX,Austin,TRUE,TRUE,FALSE,FALSE,FALSE,Travis County,C1242
University of Utah,UT,Salt Lake City,FALSE,TRUE,TRUE,FALSE,FALSE,Salt Lake County,C4162
University of Washington,WA,Seattle,TRUE,TRUE,TRUE,TRUE,FALSE,King County,C4266
"University of Wisconsin, Madison",WI,Madison,TRUE,TRUE,TRUE,FALSE,TRUE,Dane County,C3154
Washington State University,WA,Pullman,FALSE,FALSE,FALSE,TRUE,TRUE,Whitman County,C3942
