Institution,Service
Arizona State University,Carpentries
Arizona State University,Data_analysis_consult
Arizona State University,Data_analysis_web
Arizona State University,Data_management_consult
Arizona State University,Data_management_instruction
Arizona State University,Data_management_plans_instruction
Arizona State University,Data_visualization_software_instruction
Arizona State University,Data_visualization_software_web
Arizona State University,Electronic_lab_notebooks
Arizona State University,Geospatial_instruction
Arizona State University,Geospatial_software_web
Arizona State University,Geospatial_web
Arizona State University,OSF
Arizona State University,Other_service_1
Arizona State University,Reproducible_research
Arizona State University,Statistical_consulting
Arizona State University,Text_data_mining
Arizona State University,Version_control
Arizona State University,Web_scraping
Michigan State University,Aerial_imagery
Michigan State University,Carpentries
Michigan State University,Data_analysis_consult
Michigan State University,Data_analysis_instruction
Michigan State University,Data_analysis_web
Michigan State University,Data_management_instruction
Michigan State University,Data_management_plans_instruction
Michigan State University,Data_management_plans_web
Michigan State University,Data_repository
Michigan State University,Data_visualization_software_instruction
Michigan State University,Data_visualization_software_web
Michigan State University,DMPTool
Michigan State University,Electronic_lab_notebooks
Michigan State University,Geospatial_consult
Michigan State University,Geospatial_software_consult
Michigan State University,Geospatial_web
Michigan State University,OSF
Michigan State University,Other_service_1
Michigan State University,Other_service_2
Michigan State University,Other_service_3
Michigan State University,Other_service_4
Michigan State University,Reproducible_research
Michigan State University,Statistical_consulting
Michigan State University,Text_data_mining
Michigan State University,Version_control
Michigan State University,Web_scraping
Ohio State University,Aerial_imagery
Ohio State University,Carpentries
Ohio State University,Data_analysis_consult
Ohio State University,Data_analysis_instruction
Ohio State University,Data_analysis_web
Ohio State University,Data_management_consult
Ohio State University,Data_management_instruction
Ohio State University,Data_management_plans_instruction
Ohio State University,Data_management_plans_web
Ohio State University,Data_visualization_software_instruction
Ohio State University,Data_visualization_software_web
Ohio State University,Electronic_lab_notebooks
Ohio State University,Geospatial_instruction
Ohio State University,Geospatial_software_instruction
Ohio State University,Geospatial_web
Ohio State University,OSF
Ohio State University,Other_service_1
Ohio State University,Reproducible_research
