Institution,Service,URL,Notes
Stanford University,Data_analysis_web,https://library.stanford.edu/research/cidr/workshops,
Stanford University,Data_management_instruction,https://library.stanford.edu/research/data-management-services/events,
Stanford University,Data_repository,https://library.stanford.edu/research/stanford-digital-repository,
Stanford University,Data_visualization_software_consult,NA,
Stanford University,Data_visualization_software_web,NA,
Stanford University,Geospatial_software_consult,https://library.stanford.edu/research/stanford-geospatial-center/services,
Stanford University,Geospatial_web,https://library.stanford.edu/research/stanford-geospatial-center,
Stanford University,OSF,https://library.stanford.edu/research/data-management-services/data-best-practices/helpful-tools,
Stanford University,Reproducible_research,NA,they offer workshops but there isn't a web page that directly speaks to reproducibility
Stanford University,Text_data_mining,https://library.stanford.edu/events/text-analysis-python-digital-tools-and-methods-humanities-and-social-sciences,
Texas A&M University,Data_analysis_instruction,NA,
Texas A&M University,Data_analysis_web,NA,
Texas A&M University,Data_management_consult,https://askus.library.tamu.edu/rdms,
Texas A&M University,Data_visualization_software_consult,NA,
Texas A&M University,Data_visualization_software_instruction,NA,
Texas A&M University,Data_visualization_software_web,NA,
Texas A&M University,Electronic_lab_notebooks,NA,
Texas A&M University,Geospatial_consult,NA,GeoSAT on campus https://geosat.tamu.edu/service/support/
Texas A&M University,Geospatial_instruction,NA,
Texas A&M University,Geospatial_software_consult,NA,
Texas A&M University,Geospatial_software_web,NA,
Texas A&M University,Geospatial_web,NA,
Texas A&M University,OSF,https://tamu.libcal.com/event/7347739,
Texas A&M University,Reproducible_research,https://tamu.libguides.com/research-data-management/FAIR,
Texas A&M University,Statistical_consulting,NA,
Texas A&M University,Text_data_mining,NA,
Texas A&M University,Version_control,NA,
Texas A&M University,Web_scraping,NA,
University of Illinois at Urbana-Champaign,Data_management_consult,https://www.library.illinois.edu/rds/,
University of Illinois at Urbana-Champaign,Data_management_plans_consult,https://www.library.illinois.edu/rds/,
University of Illinois at Urbana-Champaign,Data_management_plans_instruction,NA,
University of Illinois at Urbana-Champaign,Data_visualization_software_consult,https://www.library.illinois.edu/sc/about_us/resources_experts/,
University of Illinois at Urbana-Champaign,Data_visualization_software_instruction,NA,
University of Illinois at Urbana-Champaign,Data_visualization_software_web,https://www.library.illinois.edu/sc/services/data-visualization/,
University of Illinois at Urbana-Champaign,Electronic_lab_notebooks,NA,
University of Illinois at Urbana-Champaign,Geospatial_software_web,NA,
University of Illinois at Urbana-Champaign,Geospatial_web,https://guides.library.illinois.edu/GIS,
University of Illinois at Urbana-Champaign,OSF,https://guides.library.illinois.edu/istclibraryguide/ideals,
University of Illinois at Urbana-Champaign,Statistical_consulting,https://www.library.illinois.edu/sc/statistical-consulting/,
University of Illinois at Urbana-Champaign,Web_scraping,NA,
University of North Carolina at Chapel Hill,Data_analysis_web,NA,
