"Service","Category"
"Aerial_imagery","Geospatial"
"Data_analysis","Data Science"
"Data_management_plans","Data Management"
"Data_management","Data Management"
"Data_repository","Data Management"
"Data_visualization_software","Data Science"
"DMPTool","Data Management"
"Geospatial","Geospatial"
"Geospatial_software","Geospatial"
"Text_data_mining","Data Science"
"Web_scraping",NA
"Carpentries",NA
"Version_control",NA
"Statistical_consulting","Data Science"
"Electronic_lab_notebooks",NA
"OSF",NA
"Reproducible_research",NA
