Institution,Service,URL,Present,Notes
Arizona State University,Aerial_imagery,https://lib.asu.edu/geo,Y,
Arizona State University,Aerial_imagery,https://lib.asu.edu/geo/imagery,Y,
Michigan State University,Aerial_imagery,http://digitalscholarshiplab.msu.edu/using-the-lab/lab-technology/,N,
Michigan State University,Aerial_imagery,http://libguides.lib.msu.edu/c.php?g=95932&p=624998,N,
Ohio State University,Aerial_imagery,http://guides.osu.edu/maps-geospatial-data/maps,N,
Oregon State University,Aerial_imagery,https://guides.library.oregonstate.edu/c.php?g=285932&p=1906685,Y,
Oregon State University,Aerial_imagery,https://spatialdata.oregonexplorer.info/geoportal/,Y,
Pennsylvania State University,Aerial_imagery,http://guides.libraries.psu.edu/aerialphotographs,Y,
Stanford University,Aerial_imagery,https://library.stanford.edu/guides/satellite-imagery,N,"Website no longer works, provide satellite imagery through Planet"
Texas A&M University,Aerial_imagery,http://tamu.libguides.com/aerialphotos,Y,
University of Arizona,Aerial_imagery,https://libguides.library.arizona.edu/GIS/ImageryandLidar,Y,
"University of California, Berkeley",Aerial_imagery,https://guides.lib.berkeley.edu/c.php?g=130718&p=3874462,Y,
"University of California, Berkeley",Aerial_imagery,https://guides.lib.berkeley.edu/maps/airphotos,Y,Same page
"University of California, Davis",Aerial_imagery,https://www.library.ucdavis.edu/guide/geospatial-data-for-storage-exchange/,N,
"University of California, Davis",Aerial_imagery,https://www.library.ucdavis.edu/guide/ucd-aerial-photo-holdings-county/,Y,
"University of California, Los Angeles",Aerial_imagery,https://guides.library.ucla.edu/maps/aerial-photos,Y,
"University of California, Los Angeles",Aerial_imagery,https://www.library.ucla.edu/events/gis-day-2016,N,
"University of Colorado, Boulder",Aerial_imagery,https://geo.colorado.edu/,N,
"University of Colorado, Boulder",Aerial_imagery,https://libguides.colorado.edu/strategies/maps,Y,
University of Florida,Aerial_imagery,https://cms.uflib.ufl.edu/maps/collections,Y,
University of Florida,Aerial_imagery,https://guides.uflib.ufl.edu/c.php?g=147404&p=966753,N,
University of Illinois at Urbana-Champaign,Aerial_imagery,https://www.library.illinois.edu/max/collections/aerial_photographs/,Y,
University of Illinois at Urbana-Champaign,Aerial_imagery,https://www.library.illinois.edu/max/collections/aerial_photographs/#ILPhotos,N,
University of Iowa,Aerial_imagery,https://www.lib.uiowa.edu/maps/aerial/,Y,
"University of Maryland, College Park",Aerial_imagery,https://www.lib.umd.edu/dbfinder/list/facet/Subject/GIS+and+Maps,N,
"University of Minnesota, Twin Cities",Aerial_imagery,https://www.lib.umn.edu/borchert/aerial-photography-and-remote-sensed-imagery,Y,
"University of Minnesota, Twin Cities",Aerial_imagery,https://www.lib.umn.edu/borchert/gis-data,N,
University of North Carolina at Chapel Hill,Aerial_imagery,https://library.unc.edu/data/gis-usda/,Y,
