Institution,Service,URL,Present,Notes
Arizona State University,Carpentries,https://lib.asu.edu/data/open-lab,N,
Michigan State University,Carpentries,http://digitalscholarshiplab.msu.edu/using-the-lab/lab-technology/,N,
Oregon State University,Carpentries,https://guides.library.oregonstate.edu/c.php?g=285930&p=7590538#s-lg-box-24107783,y,
Oregon State University,Carpentries,https://library.oregonstate.edu/researcher-support,y,
Stanford University,Carpentries,https://library.stanford.edu/research/data-management-services/events,y,
Stanford University,Carpentries,https://searchworks.stanford.edu/view/gb482gq5743,n,But this page seems outdated
University of Arizona,Carpentries,https://librarycarpentry.org/lessons/,n,This isn't a UA page
University of Arizona,Carpentries,https://new.library.arizona.edu/research/support/data,n,Not updated
"University of California, Berkeley",Carpentries,https://guides.lib.berkeley.edu/library-carpentry-sprint2017,n,2017 - not recent
"University of California, Davis",Carpentries,https://www.library.ucdavis.edu/service/data-management/data-management-program-workshops-events/,y,
"University of California, Los Angeles",Carpentries,https://calendly.com/data-science-team,n,link to schedule a meeting to plan - unclear if they lead
"University of California, Los Angeles",Carpentries,https://www.library.ucla.edu/events/library-carpentry-workshop-day-1,n,Event is from 2018
"University of Colorado, Boulder",Carpentries,https://www.colorado.edu/libraries/research-assistance/data-services,n,"discuss partnering, but unclear at what levels"
University of Florida,Carpentries,https://datacarpentry.org/lessons/,n,This isn't a UF page
"University of Maryland, College Park",Carpentries,https://www.lib.umd.edu/rc/data-science,y,cohort instructors in 2019
"University of Minnesota, Twin Cities",Carpentries,https://dash.umn.edu/software-carpentry/,n,404 error
University of North Carolina at Chapel Hill,Carpentries,https://guides.lib.unc.edu/intro-git-workshop,n,Last event was in 2018
University of Texas at Austin,Carpentries,https://www.lib.utexas.edu/events/285,y,event in 2019 with 1 instructor as library staff
"University of Wisconsin, Madison",Carpentries,https://ebling.library.wisc.edu/2020/05/14/data-carpentry-on-zoom/,y,Event by Health Science it seems with one librarian staff
Washington State University,Carpentries,http://ebling.library.wisc.edu/2019/05/13/data-carpentry-workshop/,n,"Mistake here. This is a wisc link, not WSU"
Arizona State University,Data_analysis_consult,https://lib.asu.edu/data/open-lab,n,
