Institution,Service,URL,Present,Notes
Arizona State University,Data_management_consult,https://lib.asu.edu/research,y,
Arizona State University,Data_management_consult,https://lib.asu.edu/research/proposals,y,
Michigan State University,Data_management_consult,https://lib.msu.edu/rdmg/advising/,y,
Ohio State University,Data_management_consult,http://guides.osu.edu/IntroDataManagement,n,
Ohio State University,Data_management_consult,https://library.osu.edu/researchcommons/help/managing-data,y,
Oregon State University,Data_management_consult,https://guides.library.oregonstate.edu/research-data-services/campus-data-services,n,
Oregon State University,Data_management_consult,https://guides.library.oregonstate.edu/research-data-services/managing-data,y,
Pennsylvania State University,Data_management_consult,https://libraries.psu.edu/research/research-data-services/data-management,y,
Stanford University,Data_management_consult,https://library.stanford.edu/research/data-management-services,y,
Stanford University,Data_management_consult,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,y,
Texas A&M University,Data_management_consult,http://tamu.libguides.com/research-data-management/overview,n,
Texas A&M University,Data_management_consult,https://askus.library.tamu.edu/rdms,y,
University of Arizona,Data_management_consult,https://data.library.arizona.edu/,y,
University of Arizona,Data_management_consult,https://data.library.arizona.edu/our-services,y,
"University of California, Berkeley",Data_management_consult,https://guides.lib.berkeley.edu/researchdata,y,
"University of California, Berkeley",Data_management_consult,https://researchdata.berkeley.edu/services,y,
"University of California, Davis",Data_management_consult,https://datalab.ucdavis.edu/office-hours/,y,
"University of California, Davis",Data_management_consult,https://www.library.ucdavis.edu/service/preserve-your-research/,n,
"University of California, Los Angeles",Data_management_consult,https://www.library.ucla.edu/support/publishing-data-management/scholarly-communication-services/data-management-curation-services/data-management-plans,y,
"University of California, Los Angeles",Data_management_consult,https://www.library.ucla.edu/support/research-help/research-data-services,y,
"University of Colorado, Boulder",Data_management_consult,https://www.colorado.edu/libraries/research-assistance/data-services,y,
University of Florida,Data_management_consult,http://arcs.uflib.ufl.edu/consultations/,y,
University of Iowa,Data_management_consult,https://www.lib.uiowa.edu/data/contact/,y,
"University of Maryland, College Park",Data_management_consult,https://www.lib.umd.edu/data/events,n,
"University of Minnesota, Twin Cities",Data_management_consult,https://www.lib.umn.edu/datamanagement/workshops,y,
University of North Carolina at Chapel Hill,Data_management_consult,https://guides.lib.unc.edu/researchdatatoolkit/unc-services,n,
University of North Carolina at Chapel Hill,Data_management_consult,https://library.unc.edu/hub/services/data-management-consulting/,n,not clear exactly who provides
University of Oregon,Data_management_consult,https://library.uoregon.edu/data-services/contact,y,
University of Texas at Austin,Data_management_consult,https://www.lib.utexas.edu/research-help-support/research-data-services,y,
University of Utah,Data_management_consult,https://campusguides.lib.utah.edu/c.php?g=246386&p=2090992,y,
University of Utah,Data_management_consult,https://lib.utah.edu/services/data-management/consultations.php,y,
University of Washington,Data_management_consult,https://www.lib.washington.edu/digitalscholarship/services/data,y,
"University of Wisconsin, Madison",Data_management_consult,https://researchdata.wisc.edu/consultations/,n,not clear exactly who provides
Washington State University,Data_management_consult,https://libguides.libraries.wsu.edu/rdmlibguide/training,y,
Arizona State University,Data_management_instruction,https://lib.asu.edu/research/proposals,n,
Michigan State University,Data_management_instruction,https://lib.msu.edu/rdmg/training/,n,"Yes, but not clear when the last offering was"
Ohio State University,Data_management_instruction,http://guides.osu.edu/IntroDataManagement,n,
Oregon State University,Data_management_instruction,https://guides.library.oregonstate.edu/Library-Workshops-for-Grad-Students-Faculty/workshops_on_demand,n,Yes if you click 1 link to go to other page
Oregon State University,Data_management_instruction,https://guides.library.oregonstate.edu/research-data-services/managing-data,n,
Pennsylvania State University,Data_management_instruction,https://libraries.psu.edu/research/research-data-services/data-management,n,"Yes, but not clear when the last offering was"
Stanford University,Data_management_instruction,https://library.stanford.edu/research/data-management-services/consulting-training-and-other-services,n,Yes if you click 1 link to go to other page
Texas A&M University,Data_management_instruction,http://tamu.libguides.com/research-data-management/workshops,y,
Texas A&M University,Data_management_instruction,https://tamu.libguides.com/research-data-management/workshops,y,
University of Arizona,Data_management_instruction,https://data.library.arizona.edu/,n,Yes if you click 1 link to go to other page
University of Arizona,Data_management_instruction,https://data.library.arizona.edu/our-services,n,Yes if you click 1 link to go to other page
"University of California, Berkeley",Data_management_instruction,https://guides.lib.berkeley.edu/reproducibility-guide,n,Yes if you click 1 link to go to other page
"University of California, Berkeley",Data_management_instruction,https://researchdata.berkeley.edu/training,n,Yes if you click 1 link to go to other page
"University of California, Davis",Data_management_instruction,https://www.library.ucdavis.edu/service/data-management/data-management-program-workshops-events/,y,
"University of California, Los Angeles",Data_management_instruction,https://guides.library.ucla.edu/data-management-sciences,n,
"University of Colorado, Boulder",Data_management_instruction,https://www.colorado.edu/crdds/what-we-do/research-data-management,n,Yes if you click 1 link to go to other page
University of Florida,Data_management_instruction,https://guides.uflib.ufl.edu/datamanagement/home,n,
University of Illinois at Urbana-Champaign,Data_management_instruction,http://guides.library.illinois.edu/introdata,n,
University of Illinois at Urbana-Champaign,Data_management_instruction,https://www.library.illinois.edu/rds/workshops/,y,
University of Iowa,Data_management_instruction,http://www.lib.uiowa.edu/data/plan/,n,Yes if you click 1 link to go to other page
"University of Maryland, College Park",Data_management_instruction,https://www.lib.umd.edu/data/data-mgmt,n,404 not found
"University of Maryland, College Park",Data_management_instruction,https://www.lib.umd.edu/rc/common-quandaries,y,
"University of Minnesota, Twin Cities",Data_management_instruction,https://www.lib.umn.edu/datamanagement/best-practices-templates,n,Yes if you click 1 link to go to other page
"University of Minnesota, Twin Cities",Data_management_instruction,https://www.lib.umn.edu/datamanagement/workshops,y,
University of North Carolina at Chapel Hill,Data_management_instruction,https://guides.lib.unc.edu/metadata,n,
University of Oregon,Data_management_instruction,https://researchguides.uoregon.edu/data-management/services,n,Yes if you click 1 link to go to other page
University of Southern California,Data_management_instruction,https://libguides.usc.edu/CER_RDM,n,
University of Texas at Austin,Data_management_instruction,https://guides.lib.utexas.edu/data-and-donuts/managing-research-data,y,
University of Utah,Data_management_instruction,https://campusguides.lib.utah.edu/c.php?g=246386&p=2090992,n,
University of Utah,Data_management_instruction,https://lib.utah.edu/services/data-management/education-training.php,y,
University of Washington,Data_management_instruction,https://guides.lib.uw.edu/research/dmg,n,
University of Washington,Data_management_instruction,https://www.lib.washington.edu/digitalscholarship/hacking-the-academy-programming-series,y,
"University of Wisconsin, Madison",Data_management_instruction,https://researchdata.wisc.edu/our-services/,n,Yes if you click 1 link to go to other page
Washington State University,Data_management_instruction,https://cereo.wsu.edu/data-management-workshops/,y,
Washington State University,Data_management_instruction,https://libguides.libraries.wsu.edu/rdmlibguide/training,n,no dates available
Washington State University,Data_management_instruction,https://lo.library.wisc.edu/research_data_mgmt/,n,This is a good online video tutorial
Arizona State University,Data_management_plans_consult,https://lib.asu.edu/research,y,
