Institution,Service,URL,Present,Notes
Arizona State University,Carpentries,https://lib.asu.edu/data/open-lab,n,
Michigan State University,Carpentries,http://digitalscholarshiplab.msu.edu/using-the-lab/lab-technology/,n,
Oregon State University,Carpentries,https://guides.library.oregonstate.edu/c.php?g=285930&p=7590538#s-lg-box-24107783,n,
Oregon State University,Carpentries,https://library.oregonstate.edu/researcher-support,y,
Stanford University,Carpentries,https://library.stanford.edu/research/data-management-services/events,y,
Stanford University,Carpentries,https://searchworks.stanford.edu/view/gb482gq5743,n,
University of Arizona,Carpentries,https://librarycarpentry.org/lessons/,n,
University of Arizona,Carpentries,https://new.library.arizona.edu/research/support/data,y,
"University of California, Berkeley",Carpentries,https://guides.lib.berkeley.edu/library-carpentry-sprint2017,n,
"University of California, Davis",Carpentries,https://www.library.ucdavis.edu/service/data-management/data-management-program-workshops-events/,n,
"University of California, Los Angeles",Carpentries,https://calendly.com/data-science-team,y,
"University of California, Los Angeles",Carpentries,https://www.library.ucla.edu/events/library-carpentry-workshop-day-1,n,
"University of Colorado, Boulder",Carpentries,https://www.colorado.edu/libraries/research-assistance/data-services,y,
University of Florida,Carpentries,https://datacarpentry.org/lessons/,n,
"University of Maryland, College Park",Carpentries,https://www.lib.umd.edu/rc/data-science,y,
"University of Minnesota, Twin Cities",Carpentries,https://dash.umn.edu/software-carpentry/,n,
University of North Carolina at Chapel Hill,Carpentries,https://guides.lib.unc.edu/intro-git-workshop,n,
University of Texas at Austin,Carpentries,https://www.lib.utexas.edu/events/285,y,
"University of Wisconsin, Madison",Carpentries,https://ebling.library.wisc.edu/2020/05/14/data-carpentry-on-zoom/,y,
Washington State University,Carpentries,http://ebling.library.wisc.edu/2019/05/13/data-carpentry-workshop/,y,
Arizona State University,Data_analysis_consult,https://lib.asu.edu/data/open-lab,n,
Michigan State University,Data_analysis_consult,http://libguides.lib.msu.edu/dataanalysis,n,
Michigan State University,Data_analysis_consult,https://lib.msu.edu/rdmg/servcat/cstat/,n,
Ohio State University,Data_analysis_consult,https://hslguides.osu.edu/hsl_du_software/home,n,
