Institution,Service,URL,Present,Notes
Arizona State University,Aerial_imagery,https://lib.asu.edu/geo,Y,
Arizona State University,Aerial_imagery,https://lib.asu.edu/geo/imagery,N,Repeat of the above link. If you click on imegry in above link it will redirec there. 
Michigan State University,Aerial_imagery,http://digitalscholarshiplab.msu.edu/using-the-lab/lab-technology/,N,Page only provides links to other data or software sources
Michigan State University,Aerial_imagery,http://libguides.lib.msu.edu/c.php?g=95932&p=624998,Y,
Ohio State University,Aerial_imagery,http://guides.osu.edu/maps-geospatial-data/maps,Y,
Oregon State University,Aerial_imagery,https://guides.library.oregonstate.edu/c.php?g=285932&p=1906685,Y,
Oregon State University,Aerial_imagery,https://spatialdata.oregonexplorer.info/geoportal/,Y,
Pennsylvania State University,Aerial_imagery,http://guides.libraries.psu.edu/aerialphotographs,Y,Pennsylvania specific though
Stanford University,Aerial_imagery,https://library.stanford.edu/guides/satellite-imagery,N,Only links to other sources such as Planet.com and Landsat
Texas A&M University,Aerial_imagery,http://tamu.libguides.com/aerialphotos,Y,Texas specific
University of Arizona,Aerial_imagery,https://libguides.library.arizona.edu/GIS/ImageryandLidar,Y,Obviously!
"University of California, Berkeley",Aerial_imagery,https://guides.lib.berkeley.edu/c.php?g=130718&p=3874462,Y,
"University of California, Berkeley",Aerial_imagery,https://guides.lib.berkeley.edu/maps/airphotos,N,Direct to same link as above
"University of California, Davis",Aerial_imagery,https://www.library.ucdavis.edu/guide/geospatial-data-for-storage-exchange/,N,Does not provide data
"University of California, Davis",Aerial_imagery,https://www.library.ucdavis.edu/guide/ucd-aerial-photo-holdings-county/,Y,Data not downloadable but can be accesed through them by reaching out
"University of California, Los Angeles",Aerial_imagery,https://guides.library.ucla.edu/maps/aerial-photos,Y,
"University of California, Los Angeles",Aerial_imagery,https://www.library.ucla.edu/events/gis-day-2016,N,Link is for GIS day
"University of Colorado, Boulder",Aerial_imagery,https://geo.colorado.edu/,Y,
"University of Colorado, Boulder",Aerial_imagery,https://libguides.colorado.edu/strategies/maps,Y,
University of Florida,Aerial_imagery,https://cms.uflib.ufl.edu/maps/collections,Y,As far as I can tell it houses unique images specific for Florida but this one is ify
University of Florida,Aerial_imagery,https://guides.uflib.ufl.edu/c.php?g=147404&p=966753,Y,Same institution as above link but this one is better
University of Illinois at Urbana-Champaign,Aerial_imagery,https://www.library.illinois.edu/max/collections/aerial_photographs/,Y,
University of Illinois at Urbana-Champaign,Aerial_imagery,https://www.library.illinois.edu/max/collections/aerial_photographs/#ILPhotos,N,Same link as above
University of Iowa,Aerial_imagery,https://www.lib.uiowa.edu/maps/aerial/,Y,
"University of Maryland, College Park",Aerial_imagery,https://www.lib.umd.edu/gis/data-and-resources,N,TO make it work link would need to be chanced to <https://www.lib.umd.edu/gis/data-and-resources>
"University of Minnesota, Twin Cities",Aerial_imagery,https://www.lib.umn.edu/borchert/aerial-photography-and-remote-sensed-imagery,Y,
"University of Minnesota, Twin Cities",Aerial_imagery,https://www.lib.umn.edu/borchert/gis-data,N,Only provides links to other data sources. Some are Minnesota specific so no idea how to handle that?
University of North Carolina at Chapel Hill,Aerial_imagery,https://library.unc.edu/data/gis-usda/,Y,
University of Oregon,Aerial_imagery,https://library.uoregon.edu/aerial-photography-collection,Y,Fee required for public users outside OU network
University of Oregon,Aerial_imagery,https://library.uoregon.edu/map/or/gis_or_city,N,
University of Southern California,Aerial_imagery,https://libguides.usc.edu/spatial,N,
University of Texas at Austin,Aerial_imagery,https://www.lib.utexas.edu/events/356,N,
University of Utah,Aerial_imagery,https://campusguides.lib.utah.edu/c.php?g=160828&p=1054034,Y,Many of the links on the site are broken but hopefully those will be updated soon...
University of Washington,Aerial_imagery,https://guides.lib.uw.edu/research/gis/imagery_available,Y,
University of Washington,Aerial_imagery,https://guides.lib.uw.edu/research/maps/aerial_photography,Y,
"University of Wisconsin, Madison",Aerial_imagery,https://geography.wisc.edu/maplibrary/aerial-photography/,Y,
Washington State University,Aerial_imagery,http://forestry.wsu.edu/wp-content/.../Mapping-Spatial-Resources-Handout.pdf,N,Broken link
Washington State University,Aerial_imagery,https://geography.wisc.edu/maplibrary/aerial-photography/,N,Repeat link from 2 above
Arizona State University,Data_visualization_software_consult,https://lib.asu.edu/data/about,N,This is just info about staff link below is about the open lab
Arizona State University,Data_visualization_software_consult,https://lib.asu.edu/data/open-lab,Y,
Michigan State University,Data_visualization_software_consult,http://digitalscholarshiplab.msu.edu/using-the-lab/experts/,Y,
Michigan State University,Data_visualization_software_consult,https://lib.msu.edu/about/data/,Y,
Ohio State University,Data_visualization_software_consult,https://library.osu.edu/researchcommons/help/visualizing-data,Y,
Pennsylvania State University,Data_visualization_software_consult,https://guides.libraries.psu.edu/data-analytics-visualization,Y,
Pennsylvania State University,Data_visualization_software_consult,https://libraries.psu.edu/about/departments/research-informatics-and-publishing/advanced-analytics-and-visualization-digital,Y,
Stanford University,Data_visualization_software_consult,https://library.stanford.edu/events/data-visualization-r,N,I think this is apporproate but the link is outdated showing a workshop in 2016 but if it is updated (hard to see with COVID) it would work
Texas A&M University,Data_visualization_software_consult,http://tamu.libguides.com/viz,Y,
"University of California, Davis",Data_visualization_software_consult,https://www.library.ucdavis.edu/service/digital-scholarship/,Y,
"University of California, Los Angeles",Data_visualization_software_consult,https://www.library.ucla.edu/datasquad,Y,
"University of California, Los Angeles",Data_visualization_software_consult,https://www.library.ucla.edu/events/intro-tableau-public,N,This looked like a one time workshop
"University of Colorado, Boulder",Data_visualization_software_consult,https://calendar.colorado.edu/event/interdisciplinary_data_consult_hours_5549?utm_campaign=widget&utm_medium=widget&utm_source=University+of+Colorado+Boulder,Y,
University of Florida,Data_visualization_software_consult,http://arcs.uflib.ufl.edu/services/visualization/,Y,
